permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
CP-2026-005564,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS TO CONDOMINIUM UNIT #3102 AKA 31D AT THE 31ST FLOOR OF THE EXISTING HIGH-RISE STRUCTURE. 
ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IEBC AND PHC APPROVAL. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",Issued,Commercial,130 S 18TH ST,19103-4932,5,DAVID HORLACHER,"DAVID HORLACHER
519 MAPLE ST
WARMINSTER, PA  18974
USA",,,,"GOODMAN JEFFREY PAUL, GOODMAN LAURA LUCIA",2026-09-18T04:00:00Z,commercial_fitout
CP-2026-005279,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ATERATIONS TO INCLUDE PARTIAL DEMOLITION AND THE REPAIR / REPLACEMENT EXISTING WALL AND CEILING COVERING WITH NEW DRYWALL. FOR USE AS PREVIOUSLY APPROVED. AS PER APPROVED PLANS.
*****************SEPARATE PERMITS FOR ANY OTHER WORK. ******************************",Issued,Commercial,1112-20 LOMBARD ST,19147-1231,1,SHIFCO MANAGEMENT LLC,"SHIFCO MANAGEMENT LLC
525 Market St
Camden, NJ  08102
USA",,,,"WASHINGTON MEWS APTS, CORP",2026-09-18T04:00:00Z,demolition;commercial_fitout
CP-2026-005343,Building,Commercial Building Permit,Addition and/or Alteration,"FOR CHANGE OF OCCUPANCY AND LEVEL II ALTERATIONS AT THE 1ST FLOOR FOR USE AS SIT-DOWN RESTAURANT TO INCLUDE NEW PARTITIONS, FIXTURES, FURNISHINGS, FINISHES AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPPRESSION WORK. *2021 IEBC* ",Issued,Commercial,232-34 MARKET ST,19106-2816,1,RJ CONSTRUCTION SERVICES LLC,"RJ CONSTRUCTION SERVICES LLC
2101 DISSTON ST
PHILADELPHIA, PA  19146
USA",,,,STANLEY PARTNERS L P,2026-09-18T04:00:00Z,commercial_fitout
CP-2026-004915,Building,Commercial Building Permit,Addition and/or Alteration,FOR STRUCTURAL REPAIRS PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**,Issued,Commercial,1625 CHESTNUT ST,19103-4202,5,MJ SETTELEN CONSTRUCTION LLC,"MJ SETTELEN CONSTRUCTION LLC
230 S BROAD ST
SUITE 1100
PHILADELPHIA, PA  19102
USA",,,,"LIBERTY PLACE RETAIL, ASSOC ETAL",2026-09-18T04:00:00Z,commercial_fitout
CP-2026-004003,Building,Commercial Building Permit,New Construction,"FOR NEW CONSTRUCTION (MORE THAN 2/3 OF STRUCTURAL FRAMING AND PORTION(S) OF EXTERIOR WALLS TO BE REMOVED) OF A THREE (3) STORY STRUCTURE OF TYPE V-B CONSTRUCTION. FOR USE AS VACANT COMMERCIAL SPACE (SEPARATE PERMITS REQUIRED PRIOR TO FIT-OUT AND ISSUANCE OF C.O.) AND ONE (1) DWELLING UNIT (GROUP R-3). BUILDING TO BE FULLY SPRINKLERED (PER NFPA 13 THROUGHOUT THE COMMERCIAL SPACE AT THE BASEMENT & 1ST FLOOR AND PER NFPA 13R THROUGHOUT THE RESIDENTIAL OCCUPANCY AT THE 2ND & 3RD FLOORS). ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, FIRE SUPPRESSION, AND EXCAVATION WORK. SEE ZP-2026-007692 FOR ZONING APPROVAL. SEE SR-2026-032345 FOR STREETS DEPT. APPROVAL.
**SEPARATE COMPLETE DEMOLITION PERMIT REQUIRED FOR DOCUMENTATION OF EXTENT OF REMOVAL OF EXISTING STRUCTURE ON LOT.**",Issued,Commercial,1313 FRANKFORD AVE,19125-3203,5,GTMO DEVELOPMENT LLC,"GTMO DEVELOPMENT LLC
5200 OLEANDER RD
DREXELL HILL, PA  19026
USA",,,,DIFED LLC,2026-09-18T04:00:00Z,demolition;new_construction;commercial_fitout
MP-2026-005132,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"FOR THE INSTALLATION OF A TYPE 1 COMMERCIAL KITCHEN HOOD (10'-0"") AND ASSOCIATED DUCTWORK, FANS AS PER APPROVED PLANS.
 SEPARATE PERMITS REQUIRED FOR ELECTRICAL AND FIRE SUPPRESSION WORK.  **IMC 2018** ",Issued,Commercial,2345 E ANN ST,19134-4325,1,LIBIO MATOS USA REMODELING CONSTRUCTION,"LIBIO MATOS USA REMODELING CONSTRUCTION
2633 KENSINGTON AVENUE
PHILADELPHIA, PA  19125
USA",,,,LAM'S INVESTMENT CORP,2026-09-18T04:00:00Z,hvac;kitchen_bath;commercial_fitout
CP-2026-005181,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS WITHOUT A CHANGE IN EXISTING GROUP R-3 GROUP HOME USE AND OCCUPANCY. EXISTING BUILDING IS NOT SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, AND PLUMBING WORK.",Issued,Commercial,5625 MASTER ST,19131-3842,4,Innova Construction Group,"Innova Construction Group
1548 S 16th Street
Philadelphia, PA  19146
USA",,,,UMOJA INC,2026-09-18T04:00:00Z,commercial_fitout
FP-2026-002002,Fire Suppression,Fire Suppression Permit,Addition and/or Alterations,For an  EZ fire suppression installation for a commercial kitchen hood. ,Issued,Commercial,4637 FRANKFORD AVE,19124-5803,7,DC MECHANICAL II LLC,"DC MECHANICAL II LLC
3599 Nottingham Lane
Philadelphia, PA  19114
USA",,,,4637 FRANKFORD AQUISITIONS LLC,2026-09-18T04:00:00Z,kitchen_bath;commercial_fitout
ZP-2026-008564,Zoning,Zoning Permit,Change of Use,Eating and Drinking Establishments - Sit-Down Restaurant,Issued,Commercial,6113 WOODLAND AVE,19142-2418,2,Shay Argaman,"Shay Argaman
3025 master st
Apt B
Philadelphia, PA  19121
USA",,,,"SHERIF HAWA, SHERIF BINTU",2026-09-17T23:25:29Z,commercial_fitout
ZP-2026-008985,Zoning,Zoning Permit,Change of Use,Limited Lodging,Issued,Residential,2905 WHARTON ST,19146,2,,,,,,YANG JENNY,2026-09-17T17:56:38Z,commercial_fitout
ZP-2026-009076,Zoning,Zoning Permit,Change of Use,"Retail Sales - Food, Beverages, and Groceries",Issued,Commercial,4973 LANCASTER AVE,19131-4604,4,US NATIONAL TAX SERVICES INC,"US NATIONAL TAX SERVICES INC
2824 COTTMAN AVE STE 10
Philadelphia, PA  19149
USA",,,,ALAM MAHABUBUL,2026-09-17T17:10:56Z,commercial_fitout
ZP-2026-009329,Zoning,Zoning Permit,Change of Use,Eating and Drinking Establishments - Prepared Food Shop,Issued,Commercial,5134 N 5TH ST,19120-3309,8,MARANGELLY BURGOS,"MARANGELLY BURGOS
1516 E WINGOHOCKING ST
PHILADELPHIA, PA  19124
USA",,,,THACH MINH,2026-09-17T17:07:27Z,commercial_fitout
ZP-2026-009044,Zoning,Zoning Permit,Change of Use,Personal Services,Issued,Commercial,229 CHESTNUT ST,19106-2813,1,,,,,,,2026-09-17T17:01:19Z,commercial_fitout
ZP-2026-005219,Zoning,Zoning Permit,Change of Use,Limited Lodging,Issued,Residential,2334 S WARNOCK ST,19148-3634,1,,,,,,IBROCIC DIMITRIJE,2026-09-17T15:47:57Z,commercial_fitout
ZP-2026-009291,Zoning,Zoning Permit,Change of Use,"Wholesale, Distribution, and Storage - Wholesale Sales and Distribution",Issued,Commercial,1240 E ERIE AVE,19124,7,"ALAN NOCHUMSON, ESQ.","ALAN NOCHUMSON, ESQ.
123 S BROAD ST
STE 1600
PHILADELPHIA, PA  19109
USA",,,,ERIE PLAZA PHILADELPHIA L,2026-09-17T15:41:05Z,commercial_fitout
ZP-2026-009265,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Multi-Family,Issued,Commercial,301 RACE ST,19106-1824,1,DAVID MCARTHUR,"DAVID MCARTHUR
2315 ALMOND STREET
PHILADELPHIA, PA  19125
USA",,,,,2026-09-17T15:24:11Z,commercial_fitout
ZP-2026-009487,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Commercial,2556 GERMANTOWN AVE,19133-1637,5,,,,,,GIPG LLC,2026-09-17T14:29:51Z,commercial_fitout
ZP-2026-009481,Zoning,Zoning Permit,Change of Use,Limited Lodging,Issued,Residential,118 CUTHBERT ST,19106-2235,1,,,,,,WILLOUGHBY KRISTA KOSHUTA,2026-09-17T13:23:34Z,commercial_fitout
ZP-2026-009341,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,2124 UNRUH AVE,19149-2315,6,Landmark Architectural Design LLC ,"Landmark Architectural Design LLC 
1303 S BROAD STREET
PHILADELPHIA, PA  19147
USA",,,,"CAO WEN RUI, LI LIAN ZHI",2026-09-17T13:04:48Z,commercial_fitout
CP-2026-004705,Building,Commercial Building Permit,Commercial Make Safe Permit,"FOR THE REPLACEMENT OF THE DAMAGED JOISTS AND THE REPOINTING OF THE FRONT EXTERIOR WALL TO RESOLVE CF-2026-092746. ALL WORK TO BE DONE PER APPROVED PLANS AND ENGINEERING INSPECTION LETTER. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. A SEPARATE PERMIT IS REQUIRED FOR ANY ADDITIONAL ALTERATIONS THAT ARE NOT SPECIFICALLY ADDRESSED ON CF-2026-092746. ""IN ACCORDANCE WITH CODE BULLETIN PM-1801, A PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT. THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.""",Issued,Commercial,329-31 FAIRMOUNT AVE,19123-2917,1,TBC LLC,"TBC LLC
1546 PACKER AVE
LOWER LEVEL
PHILADELPHIA, PA  19145
USA",,,,"BABUSIK FRANK, ANNA",2026-09-17T04:00:00Z,commercial_fitout
CP-2026-005180,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO INCLUDE STRUCTURAL WORK, NEW PARTITIONS, DOORS, FIXTURES, FURNISHING, FINISHES AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPPRESSION WORK. *2021 IEBC* ",Issued,Commercial,1411 N FRAZIER ST,19131,4,Innova Construction Group,"Innova Construction Group
1548 S 16th Street
Philadelphia, PA  19146
USA",,,,,2026-09-17T04:00:00Z,commercial_fitout
CP-2026-005206,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS WITHOUT A CHANGE IN USE & OCCUPANCY CLASSIFICATION TO EXISTING GROUP R-2 CONDOMINIUM UNIT #2203 ON THE 22ND FLOOR. BUILDING IS FULLY SPRINKLERED. INTERIOR RENOVATION CONSISTING OF INSTALLATION OF ONE NEW VENT-FREE GAS FIREPLACE UTILIZING EXISTING GAS AND ELECTRICAL ROUGH-INS; CONSTRUCTION OF A NONCOMBUSTIBLE FIREPLACE ENCLOSURE; RELOCATION OF SELECTED ELECTRICAL DEVICES TO ACCOMODATE FIREPLACE AND ASSOCIATED FINISH WORK. NO STRUCTURAL MODIFICATIONS ARE INCLUDED.
 ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",Issued,Commercial,301 S BROAD ST,19107-6298,1,COLLEEN HARTER,"COLLEEN HARTER
JG CONTRACTING LLC
306 SILVER AVENUE
WILLOW GROVE, PA  19090
USA",,,,BROAD & SPRUCE ASSO,2026-09-17T04:00:00Z,commercial_fitout
CP-2026-005135,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL 2 INTERIOR ALTERATIONS TO ERECT A CHILDREN'S PLAY/CLIMBING STRUCTURE WITHIN THE EXISTING GROUP A-3 PLEASE TOUCH MUSEUM. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC AND PHC APPROVAL. EXISTING BUILDING IS FULLY SPRINKLERED. SEPARATE PERMITS REQUIRED FOR ANY MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK. SEE MI-2026-002765 FOR BBS VARIANCE GRANTED ON 5/14/2026. 
BBS Provisos:
1. Sprinkler system to be extended to protect play structure in event of fire in any location in the enclosing room of the play structure.
2. Top covering of play structure to be mesh.",Issued,Commercial,4201 AVENUE OF THE REPUBLIC,19131-3719,4,DENNIS joseph O'FLYNN,"DENNIS joseph O'FLYNN
1126 Taylor ave
westchester, PA  19380
USA",,,,PLEASE TOUCH MUSEUM,2026-09-17T04:00:00Z,new_construction;commercial_fitout
CP-2026-005020,Building,Commercial Building Permit,Addition and/or Alteration,"FOR THE REMOVAL AND REPLACEMENT OF ONE (1) PAINT SPRAY BOOTH AS PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND SPRAY BOOTH FIRE SUPPRESSION SYSTEM WORK.",Issued,Commercial,1934 JOHNSTON ST,19145-4722,2,Accudraft Paint Booths,"Accudraft Paint Booths
961 Route 10 East
Suite 2K
Randolph, NJ  07869
USA",,,,SEPTA,2026-09-17T04:00:00Z,commercial_fitout
CP-2026-005136,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO EXISTING HANGER BUILDING TO CREATE ACCESSORY BUSINESS AND STORAGE SPACES TO INCLUDE NEW PARTITIONS, FIXTURES, FURNISHINGS, FINISHES AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPPRESSION WORK. *2021 IEBC* ",Issued,Commercial,9901 E ROOSEVELT BLVD,19114,10,FORMCRAFT INTERIORS INC,"FORMCRAFT INTERIORS INC
2001 Market Street 
Suite 520
Philadelphia, PA  19103
USA",,,,"CITY OF PHILA, DEPT OF PUBLIC PROP",2026-09-17T04:00:00Z,commercial_fitout
CP-2026-004631,Building,Commercial Building Permit,Addition and/or Alteration,FOR LEVEL II ALTERATIONS TO AN EXISTING STRUCTURE. ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS ASSOCIATED WITH THE EXISTING ELEVATOR SHAFT. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ,Issued,Commercial,2275 BRIDGE ST,19137-1300,6,TOTAL CONSTRUCTION INC,"TOTAL CONSTRUCTION INC
601 Walnut Street, Suite L-44
Philadelphia, PA  19106
USA",,,,,2026-09-17T04:00:00Z,commercial_fitout
PP-2026-009812,Plumbing,Plumbing Permit,Alterations,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR INSTALLATION OF DRAINAGE, WASTE, VENT, AND WATER SUPPLY FOR LISTED FIXTURES. ALL MATERIALS SHALL BE METALLIC TO ROOF EXTENSION. VENTING TO BE DESIGNED AND INSTALLED IN ACCORDANCE WITH SECTION 919 PHILADELPHIA SINGLE STACK VENT SYSTEM. ALL WORK TO BE INSTALLED IN STRICT COMPLIANCE WITH 2021 PPC AND APPROVED PLANS",Issued,Commercial,2027 FAIRMOUNT AVE,19130-2610,5,DYLAN SLOAN,"DYLAN SLOAN
206 STRATFORD RD
GLENOLDEN , PA  19036
USA",,,,CITY OF PHILA,2026-09-17T04:00:00Z,roofing;commercial_fitout
EP-2026-003976,Electrical,Electrical Permit,Addition and/or Alteration,"Installation of electrical service equipment. Installation of fire pump and fire alarm.
Doors to the generator room and electrical service room shall swing out into the way of egress and have panic-listed hardware as per 110.26.C.3
Interior wiring throughout. Separate permits and service load calculation required for commercial fit-out; all work per approved plans",Issued,Commercial,257 S 16TH ST,19102-3324,2,EAGLE ELECTRICAL CONSTRUCTION CO INC,"EAGLE ELECTRICAL CONSTRUCTION CO INC
2521 EAST CLEARFIELD STREET
PHILADELPHIA, PA  19134
USA",,,,257 SOUTH 16TH ST LLC,2026-09-17T04:00:00Z,commercial_fitout
ZP-2026-009077,Zoning,Zoning Permit,Change of Use,"Retail Sales - Food, Beverages, and Groceries",Issued,Commercial,8617 GERMANTOWN AVE,19118-2828,8,JENNA A  DIETRICH,"JENNA A  DIETRICH
916 S. 12TH ST
#1F
PHILADELPHIA , PA  19147
USA",,,,8617 GERMANTOWN AVE LP,2026-09-16T22:44:25Z,commercial_fitout
ZP-2026-009337,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,31 S REDFIELD ST,19139-3122,3,,,,,,"SETTLES ETHELYN D, MCNEELY MYRON",2026-09-16T16:24:37Z,commercial_fitout
ZP-2026-009133,Zoning,Zoning Permit,Change of Use,"Retail Sales - Food, Beverages, and Groceries; Retail Sales - Consumer Goods",Issued,Commercial,5603-07 WALNUT ST,19139-3918,3,Tina Accounting & Tax Services Inc,"Tina Accounting & Tax Services Inc
3629 Frankford Ave
Philadelphia, PA  19134
USA",,,,FITZGERALD DAVID JR,2026-09-16T16:03:04Z,commercial_fitout
ZP-2026-009400,Zoning,Zoning Permit,Change of Use,Eating and Drinking Establishments - Sit-Down Restaurant,Issued,Commercial,3501 HAVERFORD AVE,19104-1910,3,,,,,,RENTMEEASY LLC,2026-09-16T15:03:40Z,commercial_fitout
ZP-2026-004581,Zoning,Zoning Permit,Change of Use,"Retail Sales - Food, Beverages, and Groceries",Issued,Commercial,9257R E ROOSEVELT BLVD,19114-2205,6,LIBIO MATOS USA REMODELING CONSTRUCTION,"LIBIO MATOS USA REMODELING CONSTRUCTION
2633 KENSINGTON AVENUE
PHILADELPHIA, PA  19125
USA",,,,"THOMAS GEORGE, CICELY GEORGE",2026-09-16T13:56:23Z,commercial_fitout
ZP-2026-008835,Zoning,Zoning Permit,Change of Use,Business Support; Research and Development,Issued,Commercial,1500-30 SPRING GARDEN ST,19130-4009,5,Klehr Harrison Harvey Branzburg LLP,"Klehr Harrison Harvey Branzburg LLP
1835 Market Street
Suite 1400
Philadelphia, PA  19103
USA",,,,1500 NET WORKS ASSOCIATES,2026-09-16T13:26:56Z,commercial_fitout
ZP-2026-009148,Zoning,Zoning Permit,Change of Use,Child Care - Child Care Center,Issued,Commercial,2123 DICKINSON ST,19146-4503,2,,,,,,BOOSTRAP BOWTIE 1031 EASY,2026-09-16T13:05:53Z,commercial_fitout
CP-2026-004813,Building,Commercial Building Permit,Addition and/or Alteration,"FIT-OUT OF SHELL COMMERCIAL SPACE C2 ON THE GROUND FLOOR OF A NEW CONSTRUCTION BUILDING (SEE PERMIT CP-2025-002144) FOR RETAIL SALES OF CONSUMER GOODS AND FOOD, BEVERAGES & GROCERIES AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. *2021 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",Issued,Commercial,3401 HAMILTON ST,19104-2076,3,ABIOLA CONSTRUCTION INC,"ABIOLA CONSTRUCTION INC
1214 S 53RD STREET
PHILADELPHIA, PA  19143
USA",,,,3401 HAMILTON LLC,2026-09-16T04:00:00Z,new_construction;commercial_fitout
CP-2026-005645,Building,Commercial Building Permit,Addition and/or Alteration,"FOR PARTIAL CHANGE OF OCCUPANCY COMBINING USES OF 603 AND 605 E GIRARD THROUGH RECORDED EASEMENT AGREEMENT FOR USE AS CHILD CARE CENTER AND TOTAL FIVE (5) DWELLING UNITS AND LEVEL II ALTERATIONS TO INCLUDE BREACH, STRUCTURAL WORK, NEW PARTITIONS, DOORS, FIXTURES, FURNISHINGS, FINISHES AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR ANY MEP AND FIRE SUPPRESSION WORK. *IEBC 2021* *2ND & 3RD FLOOR PLANS APPROVED UNDER AP#575354 & #576814 (PLANS INCLUDED FOR REFERENCE UNDER THIS APPLICATION NO WORK AT UPPER FLOORS)*   ",Issued,Commercial,603 E GIRARD AVE,19125-3408,5,EXCLUSIVE PROPERTY SERVICES INC,"EXCLUSIVE PROPERTY SERVICES INC
1819 Garfield Ave
Croydon, PA  19021
USA",,,,GIRARD CAPITAL INVESTMENT,2026-09-16T04:00:00Z,commercial_fitout
FP-2026-001844,Fire Suppression,Fire Suppression Permit,Addition and/or Alterations,"EZ PERMIT SPRINKLER RELOCATION (NFPA 13)- For the relocation of sprinkler heads as per attached standards. Deviations from these standards require submission of construction and site plans.

Relocate 20 existing heads for tenant fit-out.",Issued,Commercial,1901-19 E YORK ST,19125-1213,7,METROPOLITAN FIRE PROTECTION,"METROPOLITAN FIRE PROTECTION
839 Sussex Blvd
Broomall, PA  19008
USA",,,,1901 EAST YORK STREET OWNER LLC,2026-09-16T04:00:00Z,commercial_fitout
CP-2026-004747,Building,Commercial Building Permit,Addition and/or Alteration,"FIT-OUT OF SHELL FLOORS 9 & 10 IN A NEW CONSTRUCTION BUILDING (SEE PERMIT CP-2022-006497) FOR RESEARCH AND DEVELOPMENT & BUSINESS AND PROFESSIONAL OFFICES AS PER APPROVED PLANS BUILDING TO BE FULLY SPRINKLERED. *2021 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,2716 SOUTH ST,19146-2305,2,LF Driscoll Company LLC,"LF Driscoll Company LLC
",,,,CHILDREN'S HOSP OF PHILA,2026-09-16T04:00:00Z,new_construction;commercial_fitout
ZP-2026-009272,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,106 W NEDRO AVE,19120-2424,9,GAOFENG ZHENG,"GAOFENG ZHENG
106 ABBEY RD
 VOORHEES , NJ  08043
USA",,,,"NGO DUY, VU THOMAS",2026-09-16T02:41:06Z,commercial_fitout
ZP-2026-009215,Zoning,Zoning Permit,Change of Use,Retail Sales - Consumer Goods,Issued,Commercial,2327-83 COTTMAN AVE,19149-1002,6,Qi Chen,"Qi Chen
8846 Manchester Ave
Philadelphia, PA  19152
USA",,,,CENTRO NP ROOSEVELT MALL OWNER LLC,2026-09-15T22:58:20Z,commercial_fitout
ZP-2026-008570,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,6049 DELANCEY ST,19143-1111,3,ANDI  VELIU,"ANDI  VELIU
4128 CARTERET DR
PHILA, PA  19114
USA",,,,NOAHS ARK HOLDINGS LLC,2026-09-15T22:26:41Z,commercial_fitout
ZP-2026-008568,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,4526 N 15TH ST,19140-1102,8,ANDI  VELIU,"ANDI  VELIU
4128 CARTERET DR
PHILA, PA  19114
USA",,,,THOMAS LAMONT,2026-09-15T22:26:40Z,commercial_fitout
ZP-2026-009002,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,835 N TAYLOR ST,19130-1927,5,,,,,,,2026-09-15T21:00:42Z,commercial_fitout
ZP-2026-008947,Zoning,Zoning Permit,Change of Use,Retail Sales - Consumer Goods; Eating and Drinking Establishments - Prepared Food Shop,Issued,Commercial,6237-45 GERMANTOWN AVE,19144-2033,8,Christopher Johnson,"Christopher Johnson
2713 W. Sedgley Avenue
Philadelphia, PA  19127
USA",,,,AR DEV 2 LLC,2026-09-15T20:03:02Z,commercial_fitout
ZP-2026-009195,Zoning,Zoning Permit,Change of Use,"Retail Sales - Food, Beverages, and Groceries",Issued,Commercial,920-28 MARKET ST,19107-4226,1,Interface Studio Architects LLC,"Interface Studio Architects LLC
1400 N American Street
#301
Philadelphia, PA  19122
USA",,,,MARKET STREET 9TH PARTNERS LLC,2026-09-15T18:14:10Z,commercial_fitout
ZP-2026-009204,Zoning,Zoning Permit,Change of Use,Retail Sales - Wearing Apparel and Accessories; Retail Sales - Consumer Goods,Issued,Commercial,2655 S 7TH ST,19148-4609,1,,,,,,"OEUN PHISETH, TEA KIMMUOY",2026-09-15T17:16:03Z,commercial_fitout
ZP-2026-009049,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Multi-Family,Issued,Commercial,6025 E ROOSEVELT BLVD,19149-3345,7,"Karbon Architects, LLC","Karbon Architects, LLC
2530 E Lehigh Ave
Philadelphia, PA  19125
USA",,,,OAKLAND TERRACE 2012 LP,2026-09-15T16:33:19Z,commercial_fitout
CP-2026-005489,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO INCLUDE NEW PARTITIONS, FIXTURES, FURNISHING, FINISHES AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR ANY MEP AND FIRE SUPPRESSION WORK. *2021 IEBC* ",Issued,Commercial,2001 MARKET ST,19103-7044,5,D LAURO & RODGERS INC,"D LAURO & RODGERS INC
175 COMMERCE DRIVE 
FORT WASHINGTON, PA  19034
USA",,,,PHILA PLAZA PHAZE II,2026-09-15T04:00:00Z,commercial_fitout
EP-2026-007603,Electrical,Electrical Permit,Addition and/or Alteration,"Install a complete fire alarm system for a commercial restaurant tenant space, including all required initiating devices, notification appliances, control equipment, modules and wiring necessary for a complete and operational fire alarm system.

All work shall be performed in accordance with the 2019 NFPA 72, the 2017 NEC and the approved plans.",Issued,Commercial,4040 CITY AVE,19131-1707,4,Witness Security Solutions LLC,"Witness Security Solutions LLC
205 Rick Rd
Milford, NJ  08848
USA",,,,4040 CITY LLC,2026-09-15T04:00:00Z,commercial_fitout
CP-2025-006232,Building,Commercial Building Permit,New Construction,"COMPLETION OF THE NEW CONSTRUCTION (SEE ORIGINAL PERMIT CP-2020-005402) OF A THREE-STORY BUILDING WITH BASEMENT AND PRIVATE ROOF DECK WITH PILOT HOUSE FOR USE AS A THREE (3) FAMILY DWELLING AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**
",Issued,Commercial,1313 N 22ND ST,19121-4802,5,First Choice Renovations LLC,"First Choice Renovations LLC
383 E Street rd
STE 3
Feasterville, PA  19053
USA",,,,CIVETTA PROPERTY GROUP LLC,2026-09-15T04:00:00Z,pool_deck_fence;new_construction;commercial_fitout
